id,original_title,release_date,title,vote_average,combination
12665,Powder,1995-10-27,Powder,6.3,deadanim shottodeath teenageboy heldatgunpoint teacherstudentrelationship albino faint psionicpow healingpow extrasensorypercept marysteenburgen seanpatrickflanery lancehenriksen victorsalva victorsalva Drama Fantasy Science Fiction Thriller
451,Leaving Las Vegas,1995-10-27,Leaving Las Vegas,7.1,individu prostitut alcohol casino loveatfirstsight lovesick filmproduc screenwrit hotelroom dyinganddeath rageandh unsoci alcohol losangel alcoholabus attemptedsuicid nicolascage elisabethshue juliansands mikefiggis mikefiggis Drama Romance
16420,Othello,1995-12-15,Othello,7.0,shakespear jealousi friend laurencefishburne irènejacob kennethbranagh oliverparker oliverparker Drama
9263,Now and Then,1995-10-20,Now and Then,6.6,1970s femalefriendship comingofag gynecologist womandirector christinaricci rosieo'donnell thorabirch leslilinkaglatter leslilinkaglatter Comedy Drama Family
17015,Persuasion,1995-09-27,Persuasion,7.4,captain napoleonicwar oldflam amandaroot ciaránhinds susanfleetwood rogermichell rogermichell Drama Romance
902,La Cité des Enfants Perdus,1995-05-16,The City of Lost Children,7.6,clone dream island eye dystopia age friendship rescu children girl childhood ronperlman dominiquepinon judithvittet jean-pierrejeunet jean-pierrejeunet Fantasy Science Fiction Adventure
37557,摇啊摇，摇到外婆桥,1995-04-30,Shanghai Triad,6.5,servant cabaret shanghai diva uncl mistress umbrella gongli libao-tian wangxiaoxiao zhangyimou zhangyimou Drama Crime
9909,Dangerous Minds,1995-08-11,Dangerous Minds,6.4,rapmus karat highschool navaloffic teacher amusementpark michellepfeiffer georgedzundza courtneyb.vance johnn.smith johnn.smith Drama Crime
63,Twelve Monkeys,1995-12-29,Twelve Monkeys,7.4,schizophrenia philadelphia timetravel post-apocalypt dystopia lethalvirus monkey subterranean brucewillis madeleinestowe bradpitt terrygilliam terrygilliam Science Fiction Thriller Mystery
9598,Babe,1995-07-18,Babe,6.0,sheep pig affect piglet talkinganim separ germanshepherd talkingpig christinecavanaugh miriammargolyes dannymann chrisnoonan chrisnoonan Fantasy Drama Comedy Family
47018,Carrington,1995-11-08,Carrington,6.4,england painter conscientiousobjector independentfilm soldier emmathompson jonathanpryce stevenwaddington christopherhampton christopherhampton History Drama Romance
687,Dead Man Walking,1995-12-29,Dead Man Walking,7.3,prison rape sociallydeprivedfamili penalti deathpenalti despair deathrow begnadigung therapist self-discoveri prisoncel courtcas deathsent doomedman sentenc lethalinject forgiv chariti rageandh unsoci rightandjustic court electricchair cowardli susansarandon seanpenn robertprosky timrobbins timrobbins Drama
139405,Across the Sea of Time,1995-10-20,Across the Sea of Time,3.5,peterreznick johnmcdonough avihoffman stephenlow stephenlow Adventure History Drama Family
33689,It Takes Two,1995-11-17,It Takes Two,6.1,orphan identicaltwin kirstiealley steveguttenberg ashleyolsen andytennant andytennant Comedy Family Romance
9603,Clueless,1995-07-19,Clueless,6.9,puberti highschool makeamatch spoiledchild gayinterest conflict womandirector aliciasilverstone staceydash brittanymurphy amyheckerling amyheckerling Comedy Drama Romance
34615,"Cry, the Beloved Country",1995-12-15,"Cry, the Beloved Country",6.7,southafrica jamesearljones charless.dutton jackrobinson darrelljamesroodt darrelljamesroodt Drama
31174,Richard III,1995-12-29,Richard III,6.9,england shakespear kidnap murder king ianmckellen annettebening jimbroadbent richardloncraine richardloncraine Drama War
11443,Dead Presidents,1995-10-06,Dead Presidents,6.6,money lossofvirgin armoredtruck larenztate keithdavid christucker alberthughes alberthughes Action Crime Drama History
35196,Restoration,1995-12-29,Restoration,6.3,jealousi medicin fountain court wealth glove robertdowneyjr. megryan samneill michaelhoffman michaelhoffman Drama Romance
9312,Mortal Kombat,1995-08-18,Mortal Kombat,5.4,martialart monster island gore sorcer tournament violenc basedonvideogam handtohandcombat christopherlambert robinshou lindenashby paulw.s.anderson paulw.s.anderson Action Fantasy
577,To Die For,1995-05-20,To Die For,6.7,adulteri winter obsess televis newhampshir nicolekidman mattdillon joaquinphoenix gusvansant gusvansant Fantasy Drama Comedy Thriller
11861,How To Make An American Quilt,1995-10-06,How To Make An American Quilt,6.5,weddingvow marriagepropos marriedcoupl advic marriag love familyholiday extramaritalaffair grandmoth womandirector winonaryder annebancroft ellenburstyn jocelynmoorhouse jocelynmoorhouse Drama Romance
807,Se7en,1995-09-22,Se7en,8.1,self-fulfillingpropheci detect s.w.a.t. drugdeal eviscer lustandimpuls rageandh prideandvan insomnia investig pension polic serialkil bradpitt morganfreeman gwynethpaltrow davidfincher davidfincher Crime Mystery Thriller
10530,Pocahontas,1995-06-14,Pocahontas,6.7,cultureclash settler forbiddenlov coloni music goldrush princess romanc nativeamerican anim virginia starcrossedlov crossculturalrelationship musket basedonmythsorfolklor 17thcenturi song animalsidekick irenebedard melgibson davidogdenstiers mikegabriel mikegabriel Adventure Animation Drama Family
8391,When Night Is Falling,1995-05-05,When Night Is Falling,5.9,professor lgbt womandirector pascalebussières rachaelcrawford henryczerny patriciarozema patriciarozema Drama Romance
629,The Usual Suspects,1995-07-19,The Usual Suspects,8.1,law relat theft crimin criminalmastermind hungarian sibl stephenbaldwin gabrielbyrne chazzpalminteri bryansinger bryansinger Drama Crime Thriller
11448,Mighty Aphrodite,1995-09-13,Mighty Aphrodite,6.7,prostitut adopt adoptivefath childless lookingforbirthpar adoptivemoth independentfilm illegalprostitut child woodyallen mirasorvino helenabonhamcarter woodyallen woodyallen Comedy Romance
49133,Lamerica,1994-01-01,Lamerica,7.7,independentfilm enricoloverso micheleplacido piromilkani gianniamelio gianniamelio Drama Foreign
26441,The Big Green,1995-09-29,The Big Green,5.2,sport kidsandfamili soccer womandirector steveguttenberg oliviad'abo jayo.sanders hollygoldbergsloan hollygoldbergsloan Action Adventure Comedy Family
97406,Georgia,1995-05-19,Georgia,6.1,alcohol artist music drug band jenniferjasonleigh marewinningham tedlevine ulugrosbard ulugrosbard Drama
9089,Home for the Holidays,1995-11-02,Home for the Holidays,6.3,baltimor thanksgiv familyclan familyconflict womandirector hollyhunter robertdowneyjr. annebancroft jodiefoster jodiefoster Comedy Drama Romance
11010,Il postino,1994-09-22,The Postman,7.6,island letter postman fisherman poet philippenoiret massimotroisi mariagraziacucinotta michaelradford michaelradford Comedy Drama Romance
99040,Le confessionnal,1995-09-29,The Confessional,6.5,lothairebluteau patrickgoyette jean-louismillette robertlepage robertlepage Thriller Drama Mystery
11359,The Indian in the Cupboard,1995-07-14,The Indian in the Cupboard,5.9,cupboard game puppet parallelworld toycomestolif halscardino litefoot lindsaycrouse frankoz frankoz Adventure Family Fantasy
17182,Eye for an Eye,1996-01-12,Eye for an Eye,5.8,rape gun self-defens sallyfield kiefersutherland edharris johnschlesinger johnschlesinger Drama Thriller
2054,Mr. Holland's Opus,1995-12-29,Mr. Holland's Opus,6.9,compos mentor deaf-mut music apprentic privatelif music disabl richarddreyfuss glenneheadly jaythomas stephenherek stephenherek Music Drama Family
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,date slang hip-hop cousin parodi hood gang socialsatir racism gangster shawnwayans marlonwayans traceycherellejones parisbarclay parisbarclay Comedy
19760,Two If by Sea,1996-01-12,Two If by Sea,4.5,island paint thief seasick sandrabullock denisleary yaphetkotto billbennett billbennett Comedy Romance
9536,Bio-Dome,1996-01-12,Bio-Dome,4.4,biotop vegetarian pollut paulyshore stephenbaldwin joeylaurenadams jasonbloom jasonbloom Comedy
11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,Lawnmower Man 2: Beyond Cyberspace,2.8,hacker virtualr comput swordfight patrickbergin mattfrewer austino'brien farhadmann farhadmann Action Science Fiction
4482,Gazon maudit,1995-02-08,French Twist,6.0,lovetriangl southernfr estateag menageatroi van womandirector victoriaabril josianebalasko alainchabat josianebalasko josianebalasko Comedy Romance
10634,Friday,1995-04-26,Friday,7.0,rapmus parentchildrelationship rapper job icecube christucker nialong f.garygray f.garygray Comedy
755,From Dusk Till Dawn,1996-01-19,From Dusk Till Dawn,6.9,danc brotherbrotherrelationship sexualobsess showdown sheriff erotic nuditi bankrobb vampir holywat sieg stripper priest explos extremeviol bankrobberi preacher hostagesitu crucifix recreationalvehicl bloodspurt conveniencestor femalevampir georgeclooney quentintarantino harveykeitel robertrodriguez robertrodriguez Horror Action Thriller Crime
11859,Fair Game,1995-11-03,Fair Game,4.1,bomb miami sex detect handcuff basedonnovel hostag fbi kidnap russian kgb chase sadism parkinggarag pizza policeprotect psychopath remak carcrash conspiraci ontherun fugit shootout gunfight sadist footchas policedetect policest carchas heldatgunpoint fbiag doublecross cultfilm computerhack machinegun swatteam grenadelaunch underwaterscen rogueag damselindistress williambaldwin cindycrawford stevenberkoff andrewsipes andrewsipes Action Thriller Romance
28387,Kicking and Screaming,1995-10-06,Kicking and Screaming,7.0,colleg joshhamilton oliviad'abo carlosjacott noahbaumbach noahbaumbach Comedy Drama Romance
48750,Les misérables,1995-03-22,Les Miserables,6.6,pari nun boxer lawyer jewish jean-paulbelmondo michelboujenah alessandramartines claudelelouch claudelelouch Drama History
20927,Bed of Roses,1996-01-26,Bed of Roses,5.1,florist familyrelationship christianslater marystuartmasterson pamelaadlon michaelgoldenberg michaelgoldenberg Drama Romance
9102,Screamers,1995-09-08,Screamers,6.1,manvsmachin alienplanet struggleforsurviv peterweller roydupuis jenniferrubin christianduguay christianduguay Horror Science Fiction
124626,Nico Icon,1995-02-18,Nico Icon,7.3,nico tinaaumont jacksonbrowne susanneofteringer susanneofteringer Documentary
27526,The Crossing Guard,1995-11-15,The Crossing Guard,6.1,lossofdaught reveng suspens independentfilm tragedi jacknicholson davidmorse anjelicahuston seanpenn seanpenn Drama Thriller
9623,The Juror,1996-02-02,The Juror,5.5,juror blackmail courtcas son trial courtroom demimoore alecbaldwin josephgordon-levitt briangibson briangibson Drama Thriller
46785,بادکنک سفید,1995-01-01,The White Balloon,7.5,fish money celebr aidamohammadkhani mohsenkafili fereshtehsadreorafaiy jafarpanahi jafarpanahi Family Drama
400,Things to Do in Denver When You're Dead,1995-12-01,Things to Do in Denver When You're Dead,6.7,fathersonrelationship bountyhunt boat wayoflif coffin denver godmoth paranoia hitman friendship psychopath reveng murder independentfilm mafia diner blood gangster violenc illegalprostitut extramaritalaffair andygarcía christopherlloyd williamforsythe garyfleder garyfleder Drama Crime
880,Antonia,1995-09-12,Antonia's Line,7.2,suicid underdog freelov philosophi rape mentallydis lossofmoth villagelif worldwarii femin indiansummer familyhistori widow peasant villag mathemat freedom rightandjustic singl homosexu motherdaughterrelationship domesticviol univers womandirector willekevanammelrooy elsdottermans doravandergroen marleengorris marleengorris Drama Comedy
146599,Once Upon a Time... When We Were Colored,1996-01-26,Once Upon a Time... When We Were Colored,4.5,"racialsegreg familyrelationship ruralset africanamerican alfreeman,jr. phyliciarashād paulakelly timreid timreid Romance Drama"
188588,Last Summer in the Hamptons,1995-11-22,Last Summer in the Hamptons,0.0,victoriafoyt vivecalindfors jonrobinbaitz henryjaglom henryjaglom
8447,Angels and Insects,1995-09-10,Angels and Insects,6.3,classsocieti richwoman-poorman scientist naturalist insect markrylance kristinscottthomas patsykensit philiphaas philiphaas Drama Romance
10534,White Squall,1996-02-02,White Squall,6.3,sailingtrip diari sail surviv comingofag teenageboy disciplin shipcaptain caribbean malebond seasick stormatsea 1960s jeffbridges carolinegoodall johnsavage ridleyscott ridleyscott Action Drama
17414,Dunston Checks In,1996-01-12,Dunston Checks In,5.1,boss fistfight bulli orangutan jasonalexander fayedunaway ericlloyd kenkwapis kenkwapis Adventure Comedy Family
13997,Black Sheep,1996-02-01,Black Sheep,6.0,doubleact politicalsatir crookedpolitician womandirector chrisfarley davidspade grantheslov penelopespheeris penelopespheeris Comedy
2086,Nick of Time,1995-11-22,Nick of Time,6.1,assassin trainstat polit losangel johnnydepp courtneychase charless.dutton johnbadham johnbadham Crime Drama Thriller
9095,Mary Reilly,1996-02-23,Mary Reilly,5.7,servant monster laboratori jekyllandhyd 19thcenturi juliaroberts johnmalkovich georgecole stephenfrears stephenfrears Drama Horror Thriller Romance
12158,Vampire in Brooklyn,1995-10-26,Vampire in Brooklyn,4.5,vampir halfvampir eddiemurphy angelabassett allenpayne wescraven wescraven Comedy Horror Romance
9283,Beautiful Girls,1996-02-09,Beautiful Girls,6.6,hometown mattdillon noahemmerich annabethgish teddemme teddemme Comedy Drama Romance
9208,Broken Arrow,1996-02-09,Broken Arrow,5.7,helicopt river captain underground mexicanstandoff countdown pilot fistfight canyon major betray gunfight train explos desert militari box abandonedmin johntravolta christianslater samanthamathis johnwoo johnwoo Action Adventure Drama Thriller
40154,A Midwinter's Tale,1995-12-01,A Midwinter's Tale,7.5,play hamlet christma actor richardbriers joancollins michaelmaloney kennethbranagh kennethbranagh Comedy
406,La Haine,1995-05-31,La Haine,7.9,pari neo-nazi skinhead robberi policebrut hip-hop gun sociallydeprivedfamili breakdanc arabian boredom reveng suburb violenc policeoffic unemploy captur xenophobia vincentcassel hubertkoundé saïdtaghmaoui mathieukassovitz mathieukassovitz Drama
45549,Shopping,1994-12-06,Shopping,5.6,sadiefrost judelaw seanpertwee paulw.s.anderson paulw.s.anderson Action Adventure Drama Science Fiction Thriller
63076,Heidi Fleiss: Hollywood Madam,1995-12-27,Heidi Fleiss: Hollywood Madam,6.8,narrat hollywood prostitut nickbroomfield heidifleiss madamalex nickbroomfield nickbroomfield Documentary
11062,City Hall,1996-02-16,City Hall,6.0,corrupt undercov warondrug mayor drugdeal presidentialelect undercoverag investig polic drug alpacino johncusack bridgetfonda haroldbecker haroldbecker Drama Thriller
13685,Bottle Rocket,1996-02-21,Bottle Rocket,6.8,brotherbrotherrelationship robberi burglar languagebarri motel independentfilm psychiatrichospit maid theft nervousbreakdown escapad lukewilson owenwilson lumicavazos wesanderson wesanderson Comedy Crime Drama
47475,Mr. Wrong,1996-02-16,Mr. Wrong,3.3,ellendegeneres billpullman joancusack nickcastle nickcastle Comedy Romance
2045,Unforgettable,1996-02-23,Unforgettable,5.3,wifehusbandrelationship experi polic murder suspens memori forens gunman animalexperiment rayliotta lindafiorentino petercoyote johndahl johndahl Drama Mystery Science Fiction Thriller
9614,Happy Gilmore,1996-02-16,Happy Gilmore,6.5,lossofmoth lossoffath golf sport tax adamsandler benstiller christophermcdonald dennisdugan dennisdugan Comedy
688,The Bridges of Madison County,1995-05-28,The Bridges of Madison County,7.3,farewel adulteri loveatfirstsight photograph wifehusbandrelationship iowa loveofone'slif motherrol bridg housewif lovelett peasant marriagecrisi photographi unsoci secretlov merylstreep clinteastwood anniecorley clinteastwood clinteastwood Drama Romance
10874,Muppet Treasure Island,1996-02-16,Muppet Treasure Island,6.5,island pirategang puppet treasurehunt timcurry kevinbishop jennifersaunders brianhenson brianhenson Action Comedy Music Family Adventure
89333,Catwalk,1995-12-08,Catwalk,7.0,christyturlington azzedinealaïa giorgioarmani robertleacock robertleacock Documentary
197,Braveheart,1995-05-24,Braveheart,7.7,individu scotland inlovewithenemi legend independ ideal revolt tyranni melgibson catherinemccormack sophiemarceau melgibson melgibson Action Drama History War
103,Taxi Driver,1976-02-07,Taxi Driver,8.1,vietnamveteran taxi obsess drugdeal nightshift vigilant alien misanthrop shottodeath illegalprostitut loner robertdeniro cybillshepherd harveykeitel martinscorsese martinscorsese Crime Drama
33542,紅番區,1995-01-30,Rumble in the Bronx,6.5,newyork martialart supermarket gangwar gang wed diamond bronx duringcreditssting jackiechan anitamui françoiseyip stanleytong stanleytong Crime Action Comedy Thriller
43566,Before and After,1996-02-23,Before and After,5.8,merylstreep liamneeson edwardfurlong barbetschroeder barbetschroeder Drama Thriller
71754,Margaret's Museum,1995-09-13,Margaret's Museum,7.5,mine dancelesson coalmin bagpip helenabonhamcarter cliverussell craigolejnik mortransen mortransen Drama
51352,Anne Frank Remembered,1995-06-08,Anne Frank Remembered,7.3,fascism auschwitz typhus victim interview prejudic burglari rabbit kennethbranagh glennclose jonblair jonblair Documentary Drama Foreign
16934,The Young Poisoner's Handbook,1995-01-20,The Young Poisoner's Handbook,6.9,londonengland poison basedontruestori murder serialkil mentalinstitut teenag psychiatrist tobiasarnold ruthsheen rogerlloydpack benjaminross benjaminross Comedy Crime Drama
10324,If Lucy Fell,1996-03-08,If Lucy Fell,5.4,roommat singl love independentfilm bestfriend brooklynbridg sarahjessicaparker ellemacpherson scarlettjohansson ericschaeffer ericschaeffer Comedy Romance
78406,Steal Big Steal Little,1995-09-29,Steal Big Steal Little,5.1,brotherbrotherrelationship twinbroth lawyer estat andygarcía alanarkin rachelticotin andrewdavis andrewdavis Comedy Drama
32119,The Boys of St. Vincent,1992-12-06,The Boys of St. Vincent,7.0,henryczerny johnnymorina briandooley johnn.smith johnn.smith Drama
11066,Boomerang,1992-06-30,Boomerang,5.4,roleofwomen ladykil success ladies'man casanova woman eddiemurphy robingivens halleberry reginaldhudlin reginaldhudlin Comedy Romance
11104,重慶森林,1994-07-14,Chungking Express,7.9,ex-girlfriend drugsmuggl girlfriend snackbar romanc hongkong flightattend brigittelin tonyleungchiu-wai fayewong wongkar-wai wongkar-wai Drama Comedy Romance
37975,L'uomo delle stelle,1995-09-21,The Star Maker,6.8,sergiocastellitto tizianalodato francoscaldati giuseppetornatore giuseppetornatore Drama Romance
2074,Flirting with Disaster,1996-03-22,Flirting with Disaster,6.3,lsd lookingforbirthpar half-broth independentfilm benstiller patriciaarquette téaleoni davido.russell davido.russell Comedy Romance
27793,The NeverEnding Story III,1994-10-26,The Neverending Story III: Escape from Fantasia,4.4,fli magic jasonjamesrichter melodykay kevinmcnulty petermacdonald petermacdonald Fantasy
110972,Pie in the Sky,1996-02-09,Pie in the Sky,7.0,joshcharles anneheche johngoodman bryangordon bryangordon Comedy Romance
32622,Angela,1995-01-01,Angela,5.6,independentfilm womandirector mirandarhyne charlotteeveblythe annalevine rebeccamiller rebeccamiller Comedy Drama
73067,Frankie Starlight,1995-11-22,Frankie Starlight,5.4,boy writer ireland flashback mattdillon corbanwalker gabrielbyrne michaellindsay-hogg michaellindsay-hogg Drama Romance War
11863,Jade,1995-10-13,Jade,5.1,callgirl sanfrancisco investig murder davidcaruso lindafiorentino chazzpalminteri williamfriedkin williamfriedkin Action Thriller Mystery Romance
9101,Down Periscope,1996-03-01,Down Periscope,5.6,submarin u.s.navi misfit kelseygrammer laurenholly robschneider davids.ward davids.ward Comedy
5757,Man of the Year,1995-09-15,Man of the Year,3.8,homosexu independentfilm mockumentari dirkshafer marystein claudettesutherland dirkshafer dirkshafer Comedy
9302,Up Close & Personal,1996-03-01,Up Close & Personal,5.9,skabundertv foran nederstehyld robertredford michellepfeiffer stockardchanning jonavnet jonavnet Drama Romance
11000,The Birdcage,1996-03-08,The Birdcage,6.7,gay dragqueen homophobia florida comingout senat politician lgbt crossdress 1990s robinwilliams genehackman nathanlane mikenichols mikenichols Comedy
16388,The Brothers McMullen,1995-08-09,The Brothers McMullen,6.3,love independentfilm bestfriend truelov irishcathol sharialbert maxinebahns catharinebolz edwardburns edwardburns Comedy Drama Romance
9737,Bad Boys,1995-04-07,Bad Boys,6.5,miami detect handcuff airport mexicanstandoff stripclub witnessprotect carcrash internalaffair gunfight explos brutal footchas carchas druglord actionhero corruptcop willsmith martinlawrence téaleoni michaelbay michaelbay Action Comedy Crime Thriller
30765,The Amazing Panda Adventure,1995-08-25,The Amazing Panda Adventure,5.0,china panda poacher stephenlang ryanslater yiding christophercain christophercain Action Adventure Drama Family
10474,The Basketball Diaries,1995-04-21,The Basketball Diaries,7.2,sport basketbal addict friend drug leonardodicaprio lorrainebracco jamesmadio scottkalvert scottkalvert Drama Crime
22279,An Awfully Big Adventure,1995-07-21,An Awfully Big Adventure,6.0,england basedonnovel 1940s alanrickman hughgrant georginacates mikenewell mikenewell Romance Drama Comedy
30157,Amateur,1994-08-05,Amateur,6.5,independentfilm isabellehuppert martindonovan elinalöwensohn halhartley halhartley Crime Comedy Drama Thriller
568,Apollo 13,1995-06-30,Apollo 13,7.3,moon florida nasa spaceman raceagainsttim basedontruestori space rescu surviv disast explos astronaut imax courag tomhanks billpaxton kevinbacon ronhoward ronhoward Drama
11780,Rob Roy,1995-04-13,Rob Roy,6.5,scotland biographi 18thcenturi liamneeson jessicalange johnhurt michaelcaton-jones michaelcaton-jones Adventure
34996,The Addiction,1995-01-10,The Addiction,6.4,newyork philosophi vampir blood student violenc lilitaylor christopherwalken annabellasciorra abelferrara abelferrara Drama Horror
414,Batman Forever,1995-06-16,Batman Forever,5.2,riddl dccomic rose gothamc partner superhero robin brokenneck psychologist violenc crimin districtattorney millionair tiedup tommygun knockedout superpow disfigur fatherfigur valkilmer tommyleejones jimcarrey joelschumacher joelschumacher Action Crime Fantasy
649,Belle de jour,1967-05-24,Belle de Jour,7.3,prostitut adulteri doublelif dualident jealousi wifehusbandrelationship brothel dream women'ssexualident fantasi masoch independentfilm catherinedeneuve michelpiccoli jeansorel luisbuñuel luisbuñuel Drama Romance
1873,Beyond Rangoon,1995-05-24,Beyond Rangoon,6.4,burma doctor patriciaarquette francesmcdormand uaungko johnboorman johnboorman Drama Thriller
5894,Blue in the Face,1995-09-15,Blue in the Face,6.8,smoke cornershop cigarett tobacco cigar independentfilm harveykeitel loureed michaelj.fox paulauster paulauster Comedy
1775,Canadian Bacon,1995-06-08,Canadian Bacon,5.9,johncandy alanalda rheaperlman michaelmoore michaelmoore Action Comedy
8839,Casper,1995-05-26,Casper,6.0,halloween friendship supernatur afterlif friend danger ghost disord younghero imaginari supernatural christinaricci billpullman cathymoriarty bradsilberling bradsilberling Fantasy Comedy Family
20649,Clockers,1995-09-15,Clockers,6.8,drugpush train drug druglord harveykeitel johnturturro delroylindo spikelee spikelee Mystery Crime Drama
10329,Congo,1995-06-09,Congo,5.0,gorilla kongo diamondmin diamond lauralinney dylanwalsh erniehudson frankmarshall frankmarshall Action Adventure Drama Mystery Science Fiction Thriller
8963,Crimson Tide,1995-05-12,Crimson Tide,7.0,submarin mutini russia missil nuclearmissil embassi u.s.navi battleforpow torpedo militari moraldilemma aircraftcarri denzelwashington genehackman mattcraven tonyscott tonyscott Action Thriller Drama
26564,Crumb,1994-09-10,Crumb,7.6,underground biographi art robertcrumb alinekominsky charlescrumb terryzwigoff terryzwigoff Documentary
8068,Desperado,1995-08-25,Desperado,6.8,gunsling antiterror ambush mexico showdown guitar nuditi hitman bartend reveng tragichero shootout explos extremeviol brutal druglord legbrac flashback antoniobanderas salmahayek joaquimdealmeida robertrodriguez robertrodriguez Thriller Action Crime
8512,Devil in a Blue Dress,1995-09-15,Devil in a Blue Dress,6.3,jazzclub murder losangel privatedetect filmnoir neo-noir denzelwashington tomsizemore jenniferbeals carlfranklin carlfranklin Drama Mystery Thriller
1572,Die Hard: With a Vengeance,1995-05-19,Die Hard: With a Vengeance,6.9,bomb taxi riddl robberi detect helicopt gold subway ship fistfight polic sequel decept shootout newyorkc explos violenc carchas fbiag flashback aqueduct actionhero brucewillis jeremyirons samuell.jackson johnmctiernan johnmctiernan Action Thriller
13552,The Doom Generation,1995-10-27,The Doom Generation,5.6,sex erotic nuditi nazi suspens drifter voyeur rosemcgowan jamesduval johnathonschaech greggaraki greggaraki Action Comedy Crime Drama
